#	生成气泡数据表					
#	Id		GenerateBubble	GenerateBubbleProbability	BubbleCostCoinNum	CanBreakByAds
#	int		int	int	int	bool
#	道具编号	策划备注	生成气泡道具编号	产生气泡概率（0-100）	气泡消耗金币	是否可以看广告打破
	80102		80101	15	500	1
	80103		80101	15	500	1
	80104		80101	20	500	1
	80105		80101	20	500	1
	80106		80101	30	500	1
	80107		80101	50	500	1
	50102		50101	20	50	1
	50103		50101	20	50	1
	50104		50101	30	50	1
	60102		60101	20	100	1
	60103		60101	20	100	1
	60104		60101	30	100	1
	70102		70101	15	300	1
	70103		70101	20	300	1
	70104		70101	20	300	1
	70105		70101	30	300	1
