#	合成活动周期数据表							
#	Id		StartTime	EndTime	Theme	MaxPropId	TileId	TileRewardId
#	int		datetime	datetime	int	int	int	int
#	周期编号	策划备注	开始日期	结束日期	主题编号	最大道具编号	大奖棋子编号	大奖棋子奖励编号
	1	万圣节	2024/10/15 00:00:00	2024/11/06 00:00:00	1	10112	1001	90001
	2	圣诞节	2024/12/10 00:00:00	2024/12/31 00:00:00	2	10112	1002	90002
	3	圣帕特里克节	2025/03/01 00:00:00	2025/03/21 00:00:00	3	10112	1003	90003
	4	圣帕特里克节	2025/04/05 00:00:00	2025/04/25 00:00:00	3	10112	1003	90003
	5	约会大作战	2025/04/30 00:00:00	2025/05/20 00:00:00	4	0	0	0
	6	幸运四叶草	2025/05/25 00:00:00	2025/06/15 00:00:00	3	10112	1003	90003
	7	约会大作战	2025/06/16 00:00:00	2025/06/26 00:00:00	4	0	0	0
	8	幸运四叶草	2025/06/26 00:00:00	2025/07/06 00:00:00	3	10112	1003	90003
	9	挖矿	2025/07/06 00:00:00	2025/07/21 00:00:00	5	0	0	0
	10	幸运四叶草	2025/07/21 00:00:00	2025/08/05 00:00:00	3	10112	1003	90003
	11	约会大作战	2025/08/05 00:00:00	2025/08/20 00:00:00	4	0	0	0
	12	挖矿	2025/08/20 00:00:00	2025/09/09 00:00:00	5	0	0	0
	13	幸运四叶草	2025/09/09 00:00:00	2025/09/28 00:00:00	3	10112	1003	90003
	14	约会大作战	2025/09/29 00:00:00	2025/10/19 00:00:00	4	0	0	0
	15	万圣节	2025/10/19 00:00:00	2025/11/08 00:00:00	1	10112	1001	90001
	16	圣诞节	2025/12/05 00:00:00	2025/12/27 00:00:00	2	10112	1002	90002
	17	挖矿	2025/12/27 00:00:00	2026/01/11 00:00:00	5	0	0	0
	20	Dog	2026/01/12 00:00:00	2026/01/31 00:00:00	7	10112	1002	90002
